Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SITAS,2,Pase,32,40,85,31,68,4
SITAS,9,Pase,32,44,69,4,68,43
SITAS,2,Pase,32,45,69,41,50,47
SITAS,11,Pase,32,47,51,50,47,81
SITAS,7,Pase,32,49,46,84,33,96
SITAS,10,Pase,32,50,33,95,50,70
SITAS,11,Pase,32,52,51,72,33,12
SITAS,2,Pase,32,54,33,13,44,41
SITAS,8,Pase,32,56,44,43,25,55
SITAS,10,Errado,32,57,27,59,-,-
GEVP,6,reb_def,32,59,15,41,-,-
GEVP,6,Pase,33,0,16,39,33,6
GEVP,12,Pase,33,2,34,8,58,6
GEVP,11,Pase,33,3,58,7,40,16
GEVP,8,Pase,33,5,40,17,73,56
GEVP,5,Pase,33,8,72,59,79,18
GEVP,5,Gol,33,10,80,17,-,-
SITAS,9,Pase,33,12,85,57,69,42
SITAS,10,Pase,33,14,70,43,47,14
SITAS,11,Pase,33,16,46,16,28,4
SITAS,7,Pase,33,17,29,6,6,15
SITAS,8,Pase,33,19,3,13,25,7
SITAS,10,Pase,33,20,26,7,21,36
SITAS,11,Pase,33,21,23,36,42,32
SITAS,7,Pase,33,22,43,34,27,67
SITAS,11,Perdida,33,27,26,70,-,-
GEVP,12,Pase,33,31,0,73,11,89
GEVP,5,Pase,33,32,12,89,11,62
GEVP,12,Pase,33,35,11,60,14,10
GEVP,6,Pase,33,36,14,9,25,49
GEVP,12,Pase,33,38,26,51,48,94
GEVP,5,Pase,33,40,48,95,65,92
GEVP,8,Pase,33,42,67,93,55,65
GEVP,5,Pase,33,44,55,64,65,15
GEVP,12,Errado,33,46,70,23,-,-
SITAS,9,reb_def,33,48,97,82,-,-
SITAS,9,Pase,33,49,98,81,88,27
SITAS,8,Pase,33,52,88,28,75,35
SITAS,7,Pase,33,54,74,37,58,89
SITAS,9,Pase,33,56,58,90,27,90
SITAS,10,Pase,33,58,25,91,47,76
SITAS,8,Pase,33,59,47,79,36,95
SITAS,10,Pase,34,1,36,95,33,15
