Team,Player,Event,Mins,Secs,X,Y,X2,Y2,id
SITAS,2     ,Pase,27,5,11,70,28,21,1
SITAS,4,Pase,27,7,27,17,29,47,2
SITAS,10,Pase,27,8,31,49,29,91,3
SITAS,2     ,Pase,27,10,22,94,61,62,4
SITAS,11,Pase,27,12,62,69,51,49,5
SITAS,10,Pase,27,14,54,49,76,28,6
SITAS,7,Pase,27,15,73,22,55,20,7
SITAS,10,Perdida,27,18,46,12,-,-,8
GEVP,12,Recupero,27,18,57,86,-,-,9
GEVP,12,Pase,27,18,55,80,35,93,10
GEVP,11,Pase,27,21,31,89,15,62,11
GEVP,5,Perdida,27,25,17,68,-,-,12
SITAS,2     ,Pase,27,27,2,66,20,76,13
SITAS,11,Pase,27,31,21,77,29,13,14
SITAS,4,Pase,27,32,27,15,62,11,15
SITAS,7,Pase,27,34,62,13,54,42,16
SITAS,10,Pase,27,35,55,40,67,10,17
SITAS,11,Perdida,27,37,63,11,-,-,18
GEVP,5,Recupero,27,37,62,33,-,-,19
GEVP,5,Pase,27,39,52,34,32,13,20
GEVP,11,Pase,27,40,36,14,22,30,21
GEVP,5,Pase,27,42,13,14,33,15,22
GEVP,2,Pase,27,44,32,8,22,33,23
GEVP,8,Pase,27,45,23,37,7,7,24
GEVP,5,Gol,27,47,7,13,-,-,25
SITAS,4,Pase,27,51,8,63,21,19,26
SITAS,2     ,Pase,27,52,20,19,22,55,27
SITAS,4,Pase,27,56,24,56,32,21,28
SITAS,2     ,Pase,27,57,30,14,54,50,29
SITAS,11,Pase,27,59,55,50,65,87,30
SITAS,7,Pase,28,0,63,87,62,26,31
SITAS,11,Perdida,28,4,80,44,-,-,32
GEVP,12,Pase,28,5,80,48,57,10,33
GEVP,5,Pase,28,8,54,7,36,6,34
GEVP,11,Pase,28,12,33,7,48,8,35
GEVP,5,Pase,28,12,48,13,18,5,36
GEVP,8,Pase,28,14,19,5,19,33,37
GEVP,8,Gol,28,14,19,36,-,-,38
SITAS,4,Pase,28,19,16,38,15,78,39
SITAS,2     ,Pase,28,21,12,75,27,40,40
SITAS,4,Pase,28,23,26,43,54,9,41
SITAS,11,Pase,28,25,42,15,94,81,42
SITAS,10,Errado,28,28,95,83,-,-,43
GEVP,6,reb_def,28,30,82,42,-,-,44
GEVP,6,Perdida,28,30,82,43,-,-,45
SITAS,7,Recupero,28,30,82,48,-,-,46
SITAS,7,Pase,28,33,76,55,83,92,47
SITAS,11,Pase,28,31,80,59,69,47,48
